# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       2.09
2                       4.19
4                       8.31
8                      16.70
16                     33.46
32                     66.99
64                    138.91
128                   279.35
256                   515.08
512                   952.74
1024                 1551.03
2048                 2067.63
4096                 2026.99
8192                 5414.86
16384                8851.94
32768                9359.50
65536               11072.81
131072              11206.98
262144              11277.02
524288              11309.06
1048576             11325.73
2097152             11691.94
4194304             11291.66
